CUSIP,Principal
912797GN1,6.0
912797JE8,6.64
912796Z28,6.97
912797JF5,8.37
912797GP6,9.03
912797JG3,11.86
912797GQ4,13.57
912797JH1,21.83
912797GX9,30.12
912797JJ7,5544461.47
912797LL9,21.18
912797JK4,21.22
912797GY7,18.06
912797JL2,19.0
912797GZ4,14.52
912797JM0,20.31
912797HF7,20.18
912797JN8,63.86
912796CX5,2893871.02
912797JP3,10.45
912797HG5,7.12
912797JQ1,6.53
912797HH3,5.73
912797JV0,5.67
912797HQ3,5.19
912797JW8,5.15
912797FH5,4.55
912797JX6,5.18
912797HR1,5.26
912797JY4,9.92
912797HS9,9.25
912797JZ1,56447.79
912797HT7,134872.34
912797FS1,20.32
912796ZW2,22.64
912796Y45,26.11
912796Y52,1707269.71
912797GB7,13.16
912797JS7,7.11
912797JT5,4.67
912797JU2,9.09
912797GK7,24.29
912797GL5,10.77
912797GW1,13.95
912797HE0,7.47
912797HP5,49.94
912796ZV4,10.51
912797JR9,4207289.59
912828D56,2350339.42
91282CCT6,1185.65
91282CFG1,5.96
9128282U3,6.87
912828YE4,6.36
91282CCX7,3788788.05
91282CFN6,20.34
912828YH7,25.34
9128282Y5,24.08
91282CDB4,1893992.51
91282CFQ9,8.59
9128283D0,8.56
912828YM6,8.77
912828G38,13.09
91282CDH1,13.97
91282CFX4,142.0
9128283J7,304.57
912828YV6,2890809.42
91282CDN8,12.65
91282CGD7,9.22
912828YY0,10.16
9128283P3,9.75
91282CDS7,25.76
91282CGG0,10.1
9128283V0,10.64
912828Z52,12.1
912828J27,1376681.15
91282CDZ1,2773.66
91282CGN5,0.6
9128283Z1,0.6
912828ZC7,0.6
91282CED9,0.66
91282CGU9,0.67
912828ZF0,0.79
9128284F4,0.72
91282CEH0,0.79
91282CGX3,0.85
9128284M9,0.85
912828ZL7,0.86
912828XB1,0.94
91282CEQ0,0.92
91282CHD6,0.9
9128284R8,0.96
912828ZT0,1.09
91282CEU1,1.03
91282CHL8,0.97
912828ZW3,1.23
912828XZ8,1.07
91282CEY3,1.15
91282CHN4,1.11
912828Y79,1.22
91282CAB7,1.39
912828K74,1.31
91282CFE6,1.32
91282CHV6,1.34
9128284Z0,1.37
91282CAJ0,1.45
91282CFK2,1.48
91282CJB8,1.44
91282CAM3,1.92
9128285C0,1.63
91282CFP1,1.79
91282CJE2,2.0
9128285J5,2.06
91282CAT8,2.16
912828M56,2.51
91282CFW6,2.19
91282CJL6,2.31
9128285N6,2.69
91282CAZ4,3.13
91282CGA3,2.98
91282CJS1,3.13
91282CBC4,3.9
9128285T3,3.39
91282CGE5,3.73
91282CJV4,3.86
9128286A3,3.83
91282CBH3,3.9
912828P46,20.0
91282CGL9,6.99
9128286F2,228.54
91282CBQ3,414846.36
91282CGR6,2.43
91282CBT7,2.59
9128286L9,2.37
91282CGV7,2.38
9128286S4,2.51
91282CBW0,2.67
912828R36,2.81
91282CHB0,2.4
91282CCF6,3.37
9128286X3,2.99
91282CHH7,3.51
91282CCJ8,4.66
9128287B0,4.03
91282CHM6,5.8
91282CCP4,15.07
912828Y95,10.5
9128282A7,42.14
91282CHU8,24.8
91282CCW9,810500.77
912828YD6,17.72
91282CHY0,3.54
91282CCZ2,3.62
912828YG9,3.4
91282CJC6,2.97
91282CDG3,3.37
912828YQ7,3.3
912828U24,3.41
91282CJK8,2.83
91282CDK4,3.98
912828YU8,3.71
91282CJP7,3.87
91282CDQ1,5.64
912828YX2,5.69
91282CJT9,7.02
912828Z78,17.68
912828V98,1413628.46
912828ZB9,3.56
91282CEC1,3.56
91282CEF4,2.95
912828ZE3,3.61
912828ZN3,3.88
91282CEN7,3.39
912828X88,3.51
912828ZS2,4.98
91282CET4,4.09
91282CEW7,6.03
912828ZV5,8.22
91282CAD3,2216166.49
91282CFB2,50.31
9128282R0,0.39
91282CAH4,0.39
91282CFH9,0.38
91282CFM8,0.4
91282CAL5,0.39
91282CAU5,0.42
91282CFU0,0.4
9128283F5,0.4
91282CAY7,0.4
91282CFZ9,0.44
91282CGC9,0.46
91282CBB6,0.42
91282CBJ9,0.46
91282CGH8,0.52
9128283W8,0.55
91282CBP5,0.65
91282CGP0,0.49
91282CGT2,0.87
91282CBS9,1.31
91282CBZ3,4.51
91282CHA2,2.39
9128284N7,6.26
91282CCE9,33.95
91282CHE4,9.63
91282CHK0,110.56
91282CCH2,67384.01
91282CHQ7,2.06
91282CCR0,2.75
9128284V9,2.13
91282CCV1,2.6
91282CHX2,1.9
91282CJA0,2.2
91282CCY5,3.54
91282CDF5,4.96
91282CJF9,2.94
9128285M8,4.6
91282CJN2,4.2
91282CDL2,10.68
91282CDP3,3534133.09
91282CJR3,14.74
91282CDW8,1.45
91282CJW2,1.22
9128286B1,1.04
91282CEB3,1.11
91282CEE7,1.21
91282CEM9,1.33
9128286T2,1.42
91282CES6,1.52
91282CEV9,1.77
91282CFC0,2.18
912828YB0,1.95
91282CFJ5,2.27
91282CFL0,2.83
91282CFT3,3.91
912828YS3,3.52
91282CFY2,7.09
91282CGB1,3616962.98
91282CGJ4,3.69
912828Z94,2.91
91282CGQ8,2.33
91282CGS4,3.21
91282CGZ8,4.58
912828ZQ6,14.65
91282CHF1,8.6
91282CHJ3,3228535.31
91282CHR5,3.67
91282CAE1,3.55
91282CHW4,2.36
91282CHZ7,2.88
91282CJG7,3.74
91282CAV3,8.14
91282CJM4,7.81
91282CJQ5,1989083.76
91282CJX0,4.76
91282CBL4,2.83
91282CCB5,2526399.29
91282CCS8,3.63
91282CDJ7,646934.89
91282CDY4,4.29
91282CEP2,1851381.62
91282CFF3,12.29
91282CFV8,4677986.07
91282CGM7,4.3
91282CHC8,2474479.09
91282CHT1,4.74
91282CJJ1,12726584.71
912810ES3,3.46
912810ET1,5.85
912810EV6,1.18
912810EW4,6.51
912810EX2,16.94
912810EY0,2.37
912810EZ7,12.5
912810FA1,0.38
912810FB9,0.42
912810FE3,1.64
912810FF0,3.41
912810FG8,0.95
912810FJ2,1.96
912810FM5,3.74
912810FP8,1.82
912810FT0,4312983.3
912810PT9,3.05
912810PU6,5499258.09
912810PW2,4937113.31
912810PX0,5245109.07
912810QA9,4663127.61
912810QB7,844730.79
912810QC5,5.58
912810QD3,1762675.33
912810QE1,3.76
912810SR0,2201229.17
912810QH4,7.28
912810QK7,3.27
912810SQ2,6.28
912810ST6,4213604.97
912810QL5,7.58
912810QN1,2.69
912810SW9,6.94
912810SY5,1142575.53
912810QQ4,6.81
912810QS0,4.08
912810TA6,7.34
912810TC2,4455404.91
912810QT8,24.86
912810QU5,0.31
912810TF5,0.32
912810TH1,0.24
912810QW1,0.24
912810QX9,0.22
912810TK4,0.21
912810QY7,0.2
912810TM0,0.2
912810TQ1,0.18
912810QZ4,0.19
912810RB6,0.18
912810TS7,0.18
912810TU2,0.17
912810RC4,0.17
912810RD2,0.16
912810TW8,0.16
912810RE0,0.16
912810RG5,0.16
912810RH3,0.15
912810RJ9,0.15
912810RK6,0.15
912810RM2,0.14
912810RN0,0.14
912810RP5,0.14
912810RQ3,0.14
912810RS9,0.14
912810RT7,0.14
912810RU4,0.13
912810RV2,0.13
912810RX8,0.13
912810RY6,0.13
912810RZ3,0.13
912810SA7,0.12
912810SC3,0.12
912810SD1,0.12
912810SE9,0.12
912810SF6,0.12
912810SH2,0.12
912810SJ8,0.13
912810SK5,0.12
912810SL3,0.13
912810SN9,0.14
912810SP4,0.13
912810SS8,0.13
912810SU3,0.13
912810SX7,0.13
912810SZ2,0.13
912810TB4,0.13
912810TD0,0.13
912810TG3,0.12
912810TJ7,0.12
912810TL2,0.11
912810TN8,0.11
912810TR9,0.12
912810TT5,0.11
912810TV0,0.1
